transition_time,from_stage,to_stage,onset_pac,onset_hjorth_mobility,delta_hjorth_mobility,onset_hjorth_complexity,delta_hjorth_complexity,onset_dfa,onset_perm_entropy,delta_perm_entropy,onset_spectral_entropy,delta_spectral_entropy,onset_svd_entropy,delta_svd_entropy,onset_sample_entropy,delta_sample_entropy,onset_petrosian_fd,delta_petrosian_fd,onset_katz_fd,delta_katz_fd,onset_lziv,delta_lziv,onset_hstar_hjorth_only,delta_hstar_hjorth_only,hstar_first_hjorth_only,onset_hstar_dfa_only,onset_hstar_hjorth_dfa,delta_hstar_hjorth_dfa,hstar_first_hjorth_dfa,onset_hstar_hjorth_dfa_petrosian,delta_hstar_hjorth_dfa_petrosian,hstar_first_hjorth_dfa_petrosian,onset_hstar_hjorth_dfa_perm,delta_hstar_hjorth_dfa_perm,hstar_first_hjorth_dfa_perm,onset_hstar_top4_hctsa,delta_hstar_top4_hctsa,hstar_first_top4_hctsa,onset_hstar_all_precede,delta_hstar_all_precede,hstar_first_all_precede,subject_id,delta_dfa,delta_hstar_dfa_only,hstar_first_dfa_only
31800.0,Sleep stage 4,Sleep stage W,-5.0,-25.0,-20.0,-5.0,0.0,,-25.0,-20.0,5.0,10.0,-25.0,-20.0,-25.0,-20.0,-25.0,-20.0,15.0,20.0,-5.0,0.0,-5.0,0.0,False,,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,-5.0,0.0,False,SC4001E0,,,
45660.0,Sleep stage 1,Sleep stage W,-15.0,-15.0,0.0,-25.0,-10.0,-15.0,-15.0,0.0,-15.0,0.0,-25.0,-10.0,-15.0,0.0,-15.0,0.0,5.0,20.0,-15.0,0.0,-25.0,-10.0,True,-15.0,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,-25.0,-10.0,True,SC4001E0,0.0,0.0,False
47070.0,Sleep stage 2,Sleep stage W,-25.0,5.0,30.0,-5.0,20.0,-5.0,-5.0,20.0,25.0,50.0,5.0,30.0,15.0,40.0,-5.0,20.0,25.0,50.0,5.0,30.0,-5.0,20.0,False,-5.0,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,-5.0,20.0,False,SC4001E0,20.0,20.0,False
51240.0,Sleep stage 1,Sleep stage W,5.0,25.0,20.0,-25.0,-30.0,-15.0,-5.0,-10.0,65.0,60.0,25.0,20.0,25.0,20.0,-25.0,-30.0,35.0,30.0,55.0,50.0,-25.0,-30.0,True,-15.0,-25.0,-30.0,True,-25.0,-30.0,True,-25.0,-30.0,True,-25.0,-30.0,True,-25.0,-30.0,True,SC4001E0,-20.0,-20.0,True
51570.0,Sleep stage 1,Sleep stage W,75.0,,,35.0,-40.0,35.0,35.0,-40.0,-25.0,-100.0,45.0,-30.0,35.0,-40.0,35.0,-40.0,55.0,-20.0,,,35.0,-40.0,True,35.0,35.0,-40.0,True,35.0,-40.0,True,35.0,-40.0,True,35.0,-40.0,True,35.0,-40.0,True,SC4001E0,-40.0,-40.0,True
52260.0,Sleep stage 1,Sleep stage W,-5.0,-25.0,-20.0,,,,,,-15.0,-10.0,-25.0,-20.0,,,5.0,10.0,65.0,70.0,,,,,,,,,,,,,,,,,,,,,,SC4001E0,,,
33480.0,Sleep stage 3,Sleep stage W,5.0,5.0,0.0,-25.0,-30.0,-25.0,-25.0,-30.0,5.0,0.0,5.0,0.0,5.0,0.0,-25.0,-30.0,5.0,0.0,-15.0,-20.0,-25.0,-30.0,True,-25.0,-25.0,-30.0,True,-25.0,-30.0,True,-25.0,-30.0,True,-25.0,-30.0,True,-25.0,-30.0,True,SC4002E0,-30.0,-30.0,True
34380.0,Sleep stage 2,Sleep stage W,35.0,15.0,-20.0,,,,,,-5.0,-40.0,65.0,30.0,65.0,30.0,,,25.0,-10.0,65.0,30.0,,,,,,,,,,,,,,,,,,,,SC4002E0,,,
36540.0,Sleep stage 2,Sleep stage W,25.0,15.0,-10.0,-15.0,-40.0,-15.0,35.0,10.0,15.0,-10.0,15.0,-10.0,15.0,-10.0,35.0,10.0,-15.0,-40.0,5.0,-20.0,-15.0,-40.0,True,-15.0,-15.0,-40.0,True,-15.0,-40.0,True,-15.0,-40.0,True,-15.0,-40.0,True,-15.0,-40.0,True,SC4002E0,-40.0,-40.0,True
36630.0,Sleep stage 1,Sleep stage W,35.0,25.0,-10.0,-5.0,-40.0,-5.0,5.0,-30.0,,,25.0,-10.0,25.0,-10.0,5.0,-30.0,35.0,0.0,25.0,-10.0,-5.0,-40.0,True,-5.0,-5.0,-40.0,True,-5.0,-40.0,True,-5.0,-40.0,True,-5.0,-40.0,True,-5.0,-40.0,True,SC4002E0,-40.0,-40.0,True
